place_name,description,category,city,estimated_cost,popular_activities,best_season,duration_days
Destination 1,Lakeside city known for Phewa Lake and as a gateway to the Annapurna Circuit.,Nature,Pokhara,3500,"Boating, Paragliding, Hiking",September to November,3
Destination 2,"Historic square with palaces, courtyards and temples from the Malla period.",Cultural,Kathmandu,1500,"Sightseeing, Photography",October to December,1
Destination 3,UNESCO World Heritage Site and one of the holiest Hindu temples.,Religious,Kathmandu,1000,"Pilgrimage, Cultural Visit",February to April,1
Destination 4,"Jungle safari destination known for rhinos, tigers, and birdwatching.",Wildlife,Chitwan,4000,"Jungle Safari, Elephant Ride, Canoeing",October to March,2
Destination 5,Birthplace of Lord Buddha and UNESCO World Heritage Site.,Religious,Lumbini,2000,"Pilgrimage, Monastery Tour",October to December,2
Destination 6,Beautiful wildlife spot located in Pokhara. Known for photography.,Wildlife,Pokhara,2187,Photography,March to May,2
Destination 7,Beautiful nature spot located in Pokhara. Known for paragliding.,Nature,Pokhara,1166,Paragliding,March to May,2
Destination 8,Beautiful nature spot located in Namche Bazaar. Known for trekking.,Nature,Namche Bazaar,4922,Trekking,September to November,2
Destination 9,Beautiful wildlife spot located in Jomsom. Known for sightseeing.,Wildlife,Jomsom,2538,Sightseeing,October to December,2
Destination 10,Beautiful wildlife spot located in Dhulikhel. Known for hiking.,Wildlife,Dhulikhel,1581,Hiking,September to November,2
Destination 11,Beautiful cultural spot located in Bhaktapur. Known for sightseeing.,Cultural,Bhaktapur,4840,Sightseeing,October to December,1
Destination 12,Beautiful wildlife spot located in Tansen. Known for rafting.,Wildlife,Tansen,1339,Rafting,September to November,1
Destination 13,Beautiful wildlife spot located in Kathmandu. Known for temple visit.,Wildlife,Kathmandu,2205,Temple Visit,September to November,4
Destination 14,Beautiful nature spot located in Dhulikhel. Known for rafting.,Nature,Dhulikhel,3216,Rafting,March to May,1
Destination 15,Beautiful adventure spot located in Gorkha. Known for paragliding.,Adventure,Gorkha,2602,Paragliding,October to December,2
Destination 16,Beautiful adventure spot located in Bandipur. Known for sightseeing.,Adventure,Bandipur,2311,Sightseeing,October to December,1
Destination 17,Beautiful religious spot located in Namche Bazaar. Known for photography.,Religious,Namche Bazaar,3621,Photography,October to December,4
Destination 18,Beautiful cultural spot located in Dhulikhel. Known for sightseeing.,Cultural,Dhulikhel,4264,Sightseeing,October to December,1
Destination 19,Beautiful nature spot located in Namche Bazaar. Known for temple visit.,Nature,Namche Bazaar,2155,Temple Visit,September to November,2
Destination 20,Beautiful wildlife spot located in Bhaktapur. Known for sightseeing.,Wildlife,Bhaktapur,1053,Sightseeing,September to November,3
Destination 21,Beautiful religious spot located in Jomsom. Known for hiking.,Religious,Jomsom,1134,Hiking,March to May,1
Destination 22,Beautiful cultural spot located in Tansen. Known for photography.,Cultural,Tansen,2055,Photography,September to November,1
Destination 23,Beautiful cultural spot located in Bandipur. Known for trekking.,Cultural,Bandipur,1052,Trekking,September to November,2
Destination 24,Beautiful nature spot located in Bhaktapur. Known for photography.,Nature,Bhaktapur,2543,Photography,March to May,1
Destination 25,Beautiful religious spot located in Jomsom. Known for temple visit.,Religious,Jomsom,2670,Temple Visit,March to May,1
Destination 26,Beautiful wildlife spot located in Jomsom. Known for paragliding.,Wildlife,Jomsom,4395,Paragliding,September to November,3
Destination 27,Beautiful nature spot located in Gorkha. Known for photography.,Nature,Gorkha,4045,Photography,September to November,1
Destination 28,Beautiful religious spot located in Pokhara. Known for hiking.,Religious,Pokhara,1554,Hiking,September to November,4
Destination 29,Beautiful adventure spot located in Kathmandu. Known for sightseeing.,Adventure,Kathmandu,1448,Sightseeing,September to November,2
Destination 30,Beautiful adventure spot located in Dhulikhel. Known for rafting.,Adventure,Dhulikhel,4289,Rafting,September to November,2
